seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,diversity_threshold
33,2,5,1,0.3,1,2,100,0.6,0,0,XRAI_0.10,1,1,sum,0.5
8306,2,25,3,0.6,18,28,2500,0.88,7,1,XRAI_0.10,0,0,sum,0.85
467,5,5,1,1,8,8,625,0.86,0,0,XRAI_0.10,1,1,sum,0.85
33,2,5,1,0.3,1,3,100,1,0,0,XRAI_0.10,1,0,sum,0.65
2031,10,10,1,1,10,26,10000,0.751111,2,2,XRAI_0.10,1,1,sum,0.75
14173,5,50,3,0.6,16,4,62500,0.13,16,16,XRAI_0.10,0,0,sum,0.1
33,2,5,1,0.3,1,3,100,1,0,0,XRAI_0.10,0,0,sum,0.75
8306,2,25,3,0.6,18,35,2500,0.92,12,1,XRAI_0.10,0,0,sum,0.9
33,2,5,1,0.3,1,3,100,1,0,0,XRAI_0.10,0,0,sum,0.8
467,5,5,1,1,8,11,625,0.9,0,0,XRAI_0.10,1,1,sum,0.9
8306,2,25,3,0.6,18,36,2500,0.96,13,1,XRAI_0.10,0,0,sum,0.95
33,2,5,1,0.3,1,3,100,1,0,0,XRAI_0.10,0,0,sum,0.85
16450,5,25,5,0.3,25,58,15625,0.664,3,0,XRAI_0.10,0,0,sum,0.65
126,2,25,1,0.3,0,40,2500,0.76,14,10,XRAI_0.10,0,0,sum,0.75
33,2,5,1,0.3,1,3,100,1,0,0,XRAI_0.10,0,0,sum,0.9
2031,10,10,1,1,10,32,10000,0.802222,2,2,XRAI_0.10,1,1,sum,0.8
305,5,10,1,0.3,2,14,2500,0.75,1,1,XRAI_0.10,0,0,sum,0.75
14173,5,50,3,0.6,16,8,62500,0.272,17,16,XRAI_0.10,0,0,sum,0.25
33,2,5,1,0.3,1,3,100,1,0,0,XRAI_0.10,0,0,sum,0.95
126,2,25,1,0.3,0,60,2500,0.8,14,10,XRAI_0.10,0,0,sum,0.8
33,2,5,1,0.3,1,3,100,1,0,0,XRAI_0.10,0,0,sum,1
305,5,10,1,0.3,2,16,2500,0.8,1,1,XRAI_0.10,0,0,sum,0.8
8306,2,25,3,0.6,18,53,2500,1,14,1,XRAI_0.10,0,0,sum,1
50,2,5,1,0.3,2,0,100,0,0,0,XRAI_0.10,0,0,sum,0
126,2,25,1,0.3,0,66,2500,0.88,14,10,XRAI_0.10,0,0,sum,0.85
50,2,5,1,0.3,2,2,100,0.6,0,0,XRAI_0.10,0,0,sum,0.1
305,5,10,1,0.3,2,19,2500,0.85,1,1,XRAI_0.10,0,0,sum,0.85
50,2,5,1,0.3,2,2,100,0.6,0,0,XRAI_0.10,0,0,sum,0.25
16450,5,25,5,0.3,25,79,15625,0.764,7,0,XRAI_0.10,0,0,sum,0.75
50,2,5,1,0.3,2,2,100,0.6,0,0,XRAI_0.10,0,0,sum,0.4
14173,5,50,3,0.6,16,16,62500,0.406,19,16,XRAI_0.10,0,0,sum,0.4
9235,2,25,3,0.6,19,0,2500,0,8,8,XRAI_0.10,0,0,sum,0
126,2,25,1,0.3,0,79,2500,0.92,13,10,XRAI_0.10,0,0,sum,0.9
305,5,10,1,0.3,2,23,2500,0.9,1,1,XRAI_0.10,0,0,sum,0.9
9235,2,25,3,0.6,19,2,2500,0.2,8,8,XRAI_0.10,0,0,sum,0.1
2031,10,10,1,1,10,42,10000,0.851111,2,2,XRAI_0.10,1,1,sum,0.85
9235,2,25,3,0.6,19,3,2500,0.32,8,8,XRAI_0.10,0,0,sum,0.25
50,2,5,1,0.3,2,2,100,0.6,0,0,XRAI_0.10,0,0,sum,0.5
16450,5,25,5,0.3,25,90,15625,0.8,5,0,XRAI_0.10,0,0,sum,0.8
9235,2,25,3,0.6,19,4,2500,0.4,8,8,XRAI_0.10,0,0,sum,0.4
50,2,5,1,0.3,2,6,100,0.8,0,0,XRAI_0.10,0,0,sum,0.65
76,2,15,1,0.3,0,4,900,0.666667,3,2,XRAI_0.10,0,0,sum,0.5
51,2,10,1,0.3,0,1,400,0.5,2,2,XRAI_0.10,0,0,sum,0.25
76,2,15,1,0.3,0,4,900,0.666667,3,2,XRAI_0.10,0,0,sum,0.65
