seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,diversity_threshold
63,2,10,1,0.3,1,4,400,0.5,1,0,1RAI,1,1,eucl,0.5
8306,2,25,3,0.6,18,20,2500,0.88,7,1,1RAI,0,0,eucl,0.85
63,2,10,1,0.3,1,5,400,0.8,1,0,1RAI,1,1,eucl,0.65
153,2,25,1,0.3,1,0,2500,0,10,10,1RAI,0,0,eucl,0
15755,25,25,1,0.3,2,0,390625,1.11022e-16,13,13,1RAI,0,0,eucl,0
26,2,5,1,0.3,0,1,100,0.4,0,0,1RAI,0,1,eucl,0.1
63,2,10,1,0.3,1,5,400,0.8,1,0,1RAI,1,1,eucl,0.75
16450,5,25,5,0.3,25,71,15625,0.752452,5,0,1RAI,0,0,eucl,0.75
2031,10,10,1,1,10,26,10000,0.753694,3,2,1RAI,0,0,eucl,0.75
63,2,10,1,0.3,1,5,400,0.8,1,0,1RAI,1,1,eucl,0.8
10396,2,15,5,0.3,26,19,900,0.666667,3,0,1RAI,0,0,eucl,0.65
63,2,10,1,0.3,1,7,400,0.9,2,0,1RAI,1,1,eucl,0.85
76,2,15,1,0.3,0,2,900,0.333333,4,2,1RAI,0,0,eucl,0.25
63,2,10,1,0.3,1,7,400,0.9,2,0,1RAI,1,1,eucl,0.9
305,5,10,1,0.3,2,101,2500,0.955279,2,1,1RAI,0,0,eucl,0.95
63,2,10,1,0.3,1,12,400,1,2,0,1RAI,1,1,eucl,0.95
1764,10,15,1,0.3,4,8,22500,0.257831,1,1,1RAI,0,0,eucl,0.25
76,2,15,1,0.3,0,4,900,0.466667,4,2,1RAI,0,0,eucl,0.4
63,2,10,1,0.3,1,12,400,1,2,0,1RAI,1,1,eucl,1
16450,5,25,5,0.3,25,90,15625,0.80775,6,0,1RAI,0,0,eucl,0.8
26,2,5,1,0.3,0,1,100,0.4,0,0,1RAI,1,1,eucl,0.25
4319,2,50,1,1,9,2,10000,0.12,25,24,1RAI,0,0,eucl,0.1
10396,2,15,5,0.3,26,22,900,0.8,3,0,1RAI,0,0,eucl,0.75
95,2,10,1,0.3,2,0,400,0,0,0,1RAI,1,1,eucl,0
153,2,25,1,0.3,1,1,2500,0.12,10,10,1RAI,0,0,eucl,0.1
95,2,10,1,0.3,2,1,400,0.3,0,0,1RAI,1,1,eucl,0.1
8306,2,25,3,0.6,18,21,2500,0.92,8,1,1RAI,0,0,eucl,0.9
14173,5,50,3,0.6,16,12,62500,0.257652,19,16,1RAI,0,0,eucl,0.25
