seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,div_threshold
1083,2,30,1,0.3,1,6,3600,0.5,13,11,XRAI_1.50,0,0,sum,0.5
1047,2,10,1,0.3,3,2,400,0.3,1,1,XRAI_1.50,0,0,sum,0.25
1167,5,5,3,1,2,7,625,0.6,1,1,XRAI_1.50,0,0,sum,0.5
1047,2,10,1,0.3,3,9,400,0.8,2,1,XRAI_1.50,0,0,sum,0.5
1083,2,30,1,0.3,1,15,3600,0.833333,14,11,XRAI_1.50,0,0,sum,0.75
26065,2,15,5,1,15,2,900,0.6,6,5,XRAI_1.50,0,0,sum,0.5
1047,2,10,1,0.3,3,9,400,0.8,2,1,XRAI_1.50,0,0,sum,0.75
543,2,15,1,0.3,1,16,900,0.8,5,3,XRAI_1.50,0,0,sum,0.75
1047,2,10,1,0.3,3,12,400,0.9,2,1,XRAI_1.50,0,0,sum,0.85
124693,5,50,5,0.6,28,15,62500,0.508,39,32,XRAI_1.50,0,0,sum,0.5
183,2,5,1,0.3,1,2,100,0.6,0,0,XRAI_1.50,0,0,sum,0.25
1047,2,10,1,0.3,3,23,400,1,2,1,XRAI_1.50,0,0,sum,1
1083,2,30,1,0.3,1,19,3600,0.9,14,11,XRAI_1.50,0,0,sum,0.85
543,2,15,1,0.3,1,17,900,0.933333,5,3,XRAI_1.50,0,0,sum,0.85
171755,2,50,1,1,27,31,10000,1,43,24,XRAI_1.50,0,0,sum,1
72239,2,30,3,1,20,26,3600,1,25,15,XRAI_1.50,0,0,sum,1
183,2,5,1,0.3,1,2,100,0.6,0,0,XRAI_1.50,0,0,sum,0.5
26065,2,15,5,1,15,6,900,0.866667,6,5,XRAI_1.50,0,0,sum,0.75
1419,2,10,1,0.3,4,1,400,0.3,0,0,XRAI_1.50,0,0,sum,0.25
57195,10,30,1,0.6,22,35,90000,0.753333,15,10,XRAI_1.50,0,0,sum,0.75
1419,2,10,1,0.3,4,3,400,0.9,1,0,XRAI_1.50,0,0,sum,0.5
183,2,5,1,0.3,1,3,100,1,0,0,XRAI_1.50,0,0,sum,0.75
1419,2,10,1,0.3,4,3,400,0.9,1,0,XRAI_1.50,0,0,sum,0.75
76473,2,30,3,1,21,2,3600,0.333333,16,16,XRAI_1.50,0,0,sum,0.25
1419,2,10,1,0.3,4,3,400,0.9,1,0,XRAI_1.50,0,0,sum,0.85
1167,5,5,3,1,2,14,625,0.78,2,1,XRAI_1.50,0,0,sum,0.75
1419,2,10,1,0.3,4,4,400,1,1,0,XRAI_1.50,0,0,sum,1
8917,5,10,1,1,8,111,2500,1,1,0,XRAI_1.50,0,0,sum,1
179507,2,50,1,1,28,2,10000,0.28,24,24,XRAI_1.50,0,0,sum,0.25
76473,2,30,3,1,21,4,3600,0.5,16,16,XRAI_1.50,0,0,sum,0.5
1811,2,10,1,0.3,5,1,400,0.6,0,0,XRAI_1.50,1,1,sum,0.25
183,2,5,1,0.3,1,3,100,1,0,0,XRAI_1.50,0,0,sum,0.85
26065,2,15,5,1,15,6,900,0.866667,6,5,XRAI_1.50,0,0,sum,0.85
543,2,15,1,0.3,1,55,900,1,6,3,XRAI_1.50,0,0,sum,1
1811,2,10,1,0.3,5,1,400,0.6,0,0,XRAI_1.50,1,1,sum,0.5
10089,5,10,1,1,9,3,2500,0.42,0,0,XRAI_1.50,1,1,sum,0.25
