seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,div_threshold
363,2,10,1,0.3,1,4,400,0.8,3,1,XRAI_1.50,0,0,eucl,0.75
19828,10,15,3,0.6,16,10,22500,0.502302,6,6,XRAI_1.50,0,1,eucl,0.5
363,2,10,1,0.3,1,9,400,0.9,3,1,XRAI_1.50,0,0,eucl,0.85
124693,5,50,5,0.6,28,17,62500,0.520042,39,32,XRAI_1.50,0,0,eucl,0.5
164103,2,50,1,1,26,15,10000,0.86,37,30,XRAI_1.50,0,0,eucl,0.85
72239,2,30,3,1,20,11,3600,0.866667,23,15,XRAI_1.50,0,0,eucl,0.85
543,2,15,1,0.3,1,55,900,1,6,3,XRAI_1.50,0,0,eucl,1
26065,2,15,5,1,15,6,900,0.866667,6,5,XRAI_1.50,0,0,eucl,0.75
57195,10,30,1,0.6,22,21,90000,0.514456,13,10,XRAI_1.50,0,0,eucl,0.5
26065,2,15,5,1,15,6,900,0.866667,6,5,XRAI_1.50,0,0,eucl,0.85
1040,2,15,1,0.3,2,1,900,0.333333,4,4,XRAI_1.50,1,1,eucl,0.25
527,2,5,1,0.3,3,2,100,0.6,0,0,XRAI_1.50,1,1,eucl,0.5
363,2,10,1,0.3,1,42,400,1,3,1,XRAI_1.50,0,1,eucl,1
8095,10,10,5,0.6,10,23,10000,0.753243,4,3,XRAI_1.50,1,1,eucl,0.75
72239,2,30,3,1,20,26,3600,1,25,15,XRAI_1.50,0,0,eucl,1
527,2,5,1,0.3,3,3,100,0.8,0,0,XRAI_1.50,1,1,eucl,0.75
1040,2,15,1,0.3,2,5,900,0.6,4,4,XRAI_1.50,1,1,eucl,0.5
695,2,10,1,0.3,2,1,400,0.5,1,1,XRAI_1.50,0,0,eucl,0.25
527,2,5,1,0.3,3,10,100,1,1,0,XRAI_1.50,1,0,eucl,0.85
1040,2,15,1,0.3,2,6,900,0.8,4,4,XRAI_1.50,1,1,eucl,0.75
1083,2,30,1,0.3,1,172,3600,1,16,11,XRAI_1.50,0,0,eucl,1
1040,2,15,1,0.3,2,9,900,0.866667,5,4,XRAI_1.50,1,0,eucl,0.85
527,2,5,1,0.3,3,10,100,1,1,0,XRAI_1.50,0,0,eucl,1
1167,5,5,3,1,2,115,625,0.858579,2,1,XRAI_1.50,0,1,eucl,0.85
26065,2,15,5,1,15,26,900,1,10,5,XRAI_1.50,0,0,eucl,1
714,2,5,1,0.3,4,1,100,1,0,0,XRAI_1.50,0,0,eucl,0.25
1040,2,15,1,0.3,2,17,900,1,6,4,XRAI_1.50,0,0,eucl,1
714,2,5,1,0.3,4,1,100,1,0,0,XRAI_1.50,0,0,eucl,0.5
2075,2,30,1,0.3,2,4,3600,0.3,15,14,XRAI_1.50,0,0,eucl,0.25
714,2,5,1,0.3,4,1,100,1,0,0,XRAI_1.50,0,0,eucl,0.75
1567,2,15,1,0.3,3,1,900,0.466667,3,3,XRAI_1.50,0,0,eucl,0.25
714,2,5,1,0.3,4,1,100,1,0,0,XRAI_1.50,0,0,eucl,0.85
1567,2,15,1,0.3,3,2,900,0.666667,3,3,XRAI_1.50,0,0,eucl,0.5
714,2,5,1,0.3,4,1,100,1,0,0,XRAI_1.50,0,0,eucl,1
2075,2,30,1,0.3,2,7,3600,0.5,15,14,XRAI_1.50,0,0,eucl,0.5
1567,2,15,1,0.3,3,3,900,0.8,3,3,XRAI_1.50,0,0,eucl,0.75
911,2,5,1,0.3,5,1,100,0.8,0,0,XRAI_1.50,0,0,eucl,0.25
695,2,10,1,0.3,2,1,400,0.5,1,1,XRAI_1.50,0,0,eucl,0.5
164103,2,50,1,1,26,43,10000,1,43,30,XRAI_1.50,0,0,eucl,1
76473,2,30,3,1,21,2,3600,0.333333,16,16,XRAI_1.50,0,0,eucl,0.25
695,2,10,1,0.3,2,8,400,0.8,2,1,XRAI_1.50,0,0,eucl,0.75
19828,10,15,3,0.6,16,23,22500,0.779563,7,6,XRAI_1.50,1,1,eucl,0.75
