seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,div_threshold
126,2,25,1,0.3,0,6,2500,0.4,12,10,XRAI_1.00,1,1,eucl,0.4
8306,2,25,3,0.6,18,17,2500,0.76,8,1,XRAI_1.00,0,0,eucl,0.75
1764,10,15,1,0.3,4,2,22500,0.101112,1,1,XRAI_1.00,0,1,eucl,0.1
305,5,10,1,0.3,2,2,2500,0.137446,1,1,XRAI_1.00,0,0,eucl,0.1
8306,2,25,3,0.6,18,18,2500,0.84,8,1,XRAI_1.00,0,0,eucl,0.8
126,2,25,1,0.3,0,7,2500,0.52,12,10,XRAI_1.00,1,0,eucl,0.5
10396,2,15,5,0.3,26,3,900,0.4,3,0,XRAI_1.00,0,0,eucl,0.4
2031,10,10,1,1,10,18,10000,0.751896,2,2,XRAI_1.00,1,1,eucl,0.75
8306,2,25,3,0.6,18,19,2500,0.88,9,1,XRAI_1.00,0,0,eucl,0.85
1764,10,15,1,0.3,4,6,22500,0.263576,1,1,XRAI_1.00,1,1,eucl,0.25
33,2,5,1,0.3,1,3,100,1,0,0,XRAI_1.00,1,0,eucl,0.65
8306,2,25,3,0.6,18,21,2500,0.96,8,1,XRAI_1.00,0,0,eucl,0.9
51,2,10,1,0.3,0,1,400,0.7,2,2,XRAI_1.00,0,0,eucl,0.4
8306,2,25,3,0.6,18,21,2500,0.96,8,1,XRAI_1.00,0,0,eucl,0.95
51,2,10,1,0.3,0,1,400,0.7,2,2,XRAI_1.00,0,0,eucl,0.5
10396,2,15,5,0.3,26,4,900,0.6,2,0,XRAI_1.00,0,0,eucl,0.5
8306,2,25,3,0.6,18,23,2500,1,13,1,XRAI_1.00,0,0,eucl,1
33,2,5,1,0.3,1,3,100,1,0,0,XRAI_1.00,0,0,eucl,0.75
126,2,25,1,0.3,0,15,2500,0.68,11,10,XRAI_1.00,0,0,eucl,0.65
1764,10,15,1,0.3,4,10,22500,0.402144,1,1,XRAI_1.00,1,1,eucl,0.4
305,5,10,1,0.3,2,6,2500,0.433431,1,1,XRAI_1.00,0,0,eucl,0.25
2031,10,10,1,1,10,26,10000,0.8,2,2,XRAI_1.00,1,1,eucl,0.8
9235,2,25,3,0.6,19,0,2500,0,8,8,XRAI_1.00,0,0,eucl,0
10396,2,15,5,0.3,26,5,900,0.8,2,0,XRAI_1.00,0,0,eucl,0.65
9235,2,25,3,0.6,19,1,2500,0.2,8,8,XRAI_1.00,0,0,eucl,0.1
126,2,25,1,0.3,0,20,2500,0.76,12,10,XRAI_1.00,0,0,eucl,0.75
16450,5,25,5,0.3,25,12,15625,0.419655,1,0,XRAI_1.00,0,0,eucl,0.4
4319,2,50,1,1,9,7,10000,0.5,25,24,XRAI_1.00,0,0,eucl,0.5
14173,5,50,3,0.6,16,6,62500,0.264527,19,16,XRAI_1.00,0,0,eucl,0.25
76,2,15,1,0.3,0,17,900,0.866667,3,2,XRAI_1.00,0,0,eucl,0.75
4319,2,50,1,1,9,10,10000,0.72,31,24,XRAI_1.00,0,0,eucl,0.65
16450,5,25,5,0.3,25,15,15625,0.511902,1,0,XRAI_1.00,0,0,eucl,0.5
76,2,15,1,0.3,0,17,900,0.866667,3,2,XRAI_1.00,0,0,eucl,0.8
4319,2,50,1,1,9,13,10000,0.82,37,24,XRAI_1.00,0,0,eucl,0.75
76,2,15,1,0.3,0,17,900,0.866667,3,2,XRAI_1.00,0,0,eucl,0.85
4319,2,50,1,1,9,13,10000,0.82,37,24,XRAI_1.00,0,0,eucl,0.8
9235,2,25,3,0.6,19,2,2500,0.4,9,8,XRAI_1.00,0,0,eucl,0.25
33,2,5,1,0.3,1,3,100,1,0,0,XRAI_1.00,0,0,eucl,0.8
2031,10,10,1,1,10,37,10000,0.850185,4,2,XRAI_1.00,1,1,eucl,0.85
9235,2,25,3,0.6,19,2,2500,0.4,9,8,XRAI_1.00,0,0,eucl,0.4
467,5,5,1,1,8,149,625,0.910557,1,0,XRAI_1.00,1,1,eucl,0.9
1764,10,15,1,0.3,4,13,22500,0.505787,1,1,XRAI_1.00,1,1,eucl,0.5
31663,10,50,5,0.3,23,14,250000,0.263637,7,7,XRAI_1.00,0,0,eucl,0.25
33,2,5,1,0.3,1,3,100,1,0,0,XRAI_1.00,0,0,eucl,0.85
51,2,10,1,0.3,0,1,400,0.7,2,2,XRAI_1.00,0,0,eucl,0.65
305,5,10,1,0.3,2,6,2500,0.433431,1,1,XRAI_1.00,0,0,eucl,0.4
126,2,25,1,0.3,0,21,2500,0.84,12,10,XRAI_1.00,0,0,eucl,0.8
33,2,5,1,0.3,1,3,100,1,0,0,XRAI_1.00,0,0,eucl,0.9
305,5,10,1,0.3,2,7,2500,0.584067,1,1,XRAI_1.00,0,0,eucl,0.5
9235,2,25,3,0.6,19,4,2500,0.68,9,8,XRAI_1.00,0,0,eucl,0.5
10396,2,15,5,0.3,26,5,900,0.8,2,0,XRAI_1.00,0,0,eucl,0.75
9235,2,25,3,0.6,19,4,2500,0.68,9,8,XRAI_1.00,0,0,eucl,0.65
33,2,5,1,0.3,1,3,100,1,0,0,XRAI_1.00,0,0,eucl,0.95
10396,2,15,5,0.3,26,5,900,0.8,2,0,XRAI_1.00,0,0,eucl,0.8
33,2,5,1,0.3,1,3,100,1,0,0,XRAI_1.00,0,0,eucl,1
51,2,10,1,0.3,0,3,400,0.8,3,2,XRAI_1.00,0,0,eucl,0.75
9235,2,25,3,0.6,19,5,2500,0.76,9,8,XRAI_1.00,0,0,eucl,0.75
126,2,25,1,0.3,0,31,2500,0.92,14,10,XRAI_1.00,0,0,eucl,0.85
50,2,5,1,0.3,2,0,100,0,0,0,XRAI_1.00,0,0,eucl,0
9235,2,25,3,0.6,19,6,2500,0.8,10,8,XRAI_1.00,0,0,eucl,0.8
51,2,10,1,0.3,0,3,400,0.8,3,2,XRAI_1.00,0,0,eucl,0.8
10396,2,15,5,0.3,26,7,900,0.866667,2,0,XRAI_1.00,0,0,eucl,0.85
305,5,10,1,0.3,2,9,2500,0.65359,1,1,XRAI_1.00,0,0,eucl,0.65
9235,2,25,3,0.6,19,8,2500,0.88,10,8,XRAI_1.00,0,0,eucl,0.85
1764,10,15,1,0.3,4,25,22500,0.662251,3,1,XRAI_1.00,1,1,eucl,0.65
10396,2,15,5,0.3,26,12,900,0.933333,4,0,XRAI_1.00,0,0,eucl,0.9
50,2,5,1,0.3,2,1,100,0.4,0,0,XRAI_1.00,0,0,eucl,0.1
9235,2,25,3,0.6,19,9,2500,0.92,17,8,XRAI_1.00,0,0,eucl,0.9
305,5,10,1,0.3,2,14,2500,0.763357,2,1,XRAI_1.00,0,0,eucl,0.75
51,2,10,1,0.3,0,4,400,0.9,3,2,XRAI_1.00,0,0,eucl,0.85
2031,10,10,1,1,10,58,10000,0.908106,4,2,XRAI_1.00,1,0,eucl,0.9
305,5,10,1,0.3,2,19,2500,0.807646,2,1,XRAI_1.00,0,0,eucl,0.8
50,2,5,1,0.3,2,1,100,0.4,0,0,XRAI_1.00,0,0,eucl,0.25
9235,2,25,3,0.6,19,14,2500,0.96,16,8,XRAI_1.00,0,0,eucl,0.95
126,2,25,1,0.3,0,31,2500,0.92,14,10,XRAI_1.00,0,0,eucl,0.9
51,2,10,1,0.3,0,4,400,0.9,3,2,XRAI_1.00,0,0,eucl,0.9
305,5,10,1,0.3,2,29,2500,0.865836,2,1,XRAI_1.00,0,0,eucl,0.85
50,2,5,1,0.3,2,1,100,0.4,0,0,XRAI_1.00,0,0,eucl,0.4
76,2,15,1,0.3,0,20,900,0.933333,5,2,XRAI_1.00,0,1,eucl,0.9
16450,5,25,5,0.3,25,30,15625,0.67381,1,0,XRAI_1.00,0,0,eucl,0.65
4319,2,50,1,1,9,15,10000,0.86,38,24,XRAI_1.00,0,0,eucl,0.85
14173,5,50,3,0.6,16,11,62500,0.405525,23,16,XRAI_1.00,0,0,eucl,0.4
76,2,15,1,0.3,0,35,900,1,5,2,XRAI_1.00,1,1,eucl,0.95
9235,2,25,3,0.6,19,32,2500,1,16,8,XRAI_1.00,0,0,eucl,1
51,2,10,1,0.3,0,15,400,1,3,2,XRAI_1.00,0,0,eucl,0.95
4319,2,50,1,1,9,18,10000,0.92,39,24,XRAI_1.00,0,0,eucl,0.9
76,2,15,1,0.3,0,35,900,1,5,2,XRAI_1.00,1,1,eucl,1
31663,10,50,5,0.3,23,23,250000,0.410386,10,7,XRAI_1.00,0,0,eucl,0.4
305,5,10,1,0.3,2,35,2500,0.905132,3,1,XRAI_1.00,0,0,eucl,0.9
10396,2,15,5,0.3,26,52,900,1,4,0,XRAI_1.00,0,1,eucl,0.95
10214,2,25,3,0.6,20,0,2500,0,4,4,XRAI_1.00,0,0,eucl,0
50,2,5,1,0.3,2,2,100,0.8,0,0,XRAI_1.00,0,0,eucl,0.5
10214,2,25,3,0.6,20,1,2500,0.12,4,4,XRAI_1.00,0,0,eucl,0.1
126,2,25,1,0.3,0,48,2500,0.96,13,10,XRAI_1.00,0,0,eucl,0.95
1764,10,15,1,0.3,4,41,22500,0.764612,3,1,XRAI_1.00,1,1,eucl,0.75
10214,2,25,3,0.6,20,2,2500,0.36,4,4,XRAI_1.00,0,0,eucl,0.25
51,2,10,1,0.3,0,15,400,1,3,2,XRAI_1.00,0,0,eucl,1
50,2,5,1,0.3,2,2,100,0.8,0,0,XRAI_1.00,0,0,eucl,0.65
10396,2,15,5,0.3,26,52,900,1,4,0,XRAI_1.00,1,1,eucl,1
10214,2,25,3,0.6,20,4,2500,0.52,4,4,XRAI_1.00,0,0,eucl,0.4
50,2,5,1,0.3,2,2,100,0.8,0,0,XRAI_1.00,0,0,eucl,0.75
10214,2,25,3,0.6,20,4,2500,0.52,4,4,XRAI_1.00,0,0,eucl,0.5
50,2,5,1,0.3,2,2,100,0.8,0,0,XRAI_1.00,0,0,eucl,0.8
63,2,10,1,0.3,1,0,400,0,0,0,XRAI_1.00,1,1,eucl,0
10214,2,25,3,0.6,20,6,2500,0.72,4,4,XRAI_1.00,0,0,eucl,0.65
50,2,5,1,0.3,2,7,100,1,0,0,XRAI_1.00,0,1,eucl,0.85
10214,2,25,3,0.6,20,7,2500,0.8,4,4,XRAI_1.00,0,0,eucl,0.75
11197,2,15,5,0.3,27,0,900,0,0,0,XRAI_1.00,0,0,eucl,0
10214,2,25,3,0.6,20,7,2500,0.8,4,4,XRAI_1.00,0,0,eucl,0.8
63,2,10,1,0.3,1,1,400,0.3,0,0,XRAI_1.00,1,1,eucl,0.1
126,2,25,1,0.3,0,86,2500,1,14,10,XRAI_1.00,0,0,eucl,1
10214,2,25,3,0.6,20,10,2500,0.88,4,4,XRAI_1.00,0,0,eucl,0.85
50,2,5,1,0.3,2,7,100,1,0,0,XRAI_1.00,1,1,eucl,0.9
1764,10,15,1,0.3,4,50,22500,0.806782,4,1,XRAI_1.00,1,1,eucl,0.8
50,2,5,1,0.3,2,7,100,1,0,0,XRAI_1.00,1,1,eucl,0.95
63,2,10,1,0.3,1,1,400,0.3,0,0,XRAI_1.00,1,1,eucl,0.25
10214,2,25,3,0.6,20,11,2500,0.92,6,4,XRAI_1.00,0,0,eucl,0.9
15755,25,25,1,0.3,2,11,390625,0.109176,13,13,XRAI_1.00,0,0,eucl,0.1
11197,2,15,5,0.3,27,1,900,0.133333,0,0,XRAI_1.00,0,0,eucl,0.1
50,2,5,1,0.3,2,7,100,1,0,0,XRAI_1.00,1,1,eucl,1
153,2,25,1,0.3,1,0,2500,0,10,10,XRAI_1.00,0,0,eucl,0
10214,2,25,3,0.6,20,21,2500,0.96,9,4,XRAI_1.00,0,0,eucl,0.95
63,2,10,1,0.3,1,2,400,0.7,0,0,XRAI_1.00,1,1,eucl,0.4
77,2,5,1,0.3,3,0,100,0,0,0,XRAI_1.00,0,0,eucl,0
10214,2,25,3,0.6,20,24,2500,1,9,4,XRAI_1.00,0,0,eucl,1
153,2,25,1,0.3,1,1,2500,0.28,10,10,XRAI_1.00,0,0,eucl,0.1
77,2,5,1,0.3,3,1,100,0.6,0,0,XRAI_1.00,0,1,eucl,0.1
305,5,10,1,0.3,2,149,2500,0.955279,2,1,XRAI_1.00,0,0,eucl,0.95
11197,2,15,5,0.3,27,2,900,0.266667,0,0,XRAI_1.00,0,0,eucl,0.25
77,2,5,1,0.3,3,1,100,0.6,0,0,XRAI_1.00,1,1,eucl,0.25
11243,2,25,3,0.6,21,0,2500,0,4,4,XRAI_1.00,0,0,eucl,0
11197,2,15,5,0.3,27,3,900,0.466667,0,0,XRAI_1.00,0,0,eucl,0.4
31663,10,50,5,0.3,23,36,250000,0.502781,13,7,XRAI_1.00,0,0,eucl,0.5
77,2,5,1,0.3,3,1,100,0.6,0,0,XRAI_1.00,1,1,eucl,0.4
11243,2,25,3,0.6,21,1,2500,0.24,4,4,XRAI_1.00,0,0,eucl,0.1
11197,2,15,5,0.3,27,4,900,0.533333,0,0,XRAI_1.00,0,0,eucl,0.5
11243,2,25,3,0.6,21,2,2500,0.36,4,4,XRAI_1.00,0,0,eucl,0.25
153,2,25,1,0.3,1,1,2500,0.28,10,10,XRAI_1.00,0,0,eucl,0.25
11243,2,25,3,0.6,21,3,2500,0.48,14,4,XRAI_1.00,0,0,eucl,0.4
77,2,5,1,0.3,3,1,100,0.6,0,0,XRAI_1.00,1,1,eucl,0.5
153,2,25,1,0.3,1,3,2500,0.4,10,10,XRAI_1.00,0,0,eucl,0.4
