seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,diversity_threshold
76,2,15,1,0.3,0,12,900,0.866667,4,2,XRAI_0.10,0,0,eucl,0.85
14173,5,50,3,0.6,16,17,62500,0.417179,22,16,XRAI_0.10,0,0,eucl,0.4
76,2,15,1,0.3,0,13,900,1,5,2,XRAI_0.10,0,0,eucl,0.9
8306,2,25,3,0.6,18,1,2500,0.12,1,1,XRAI_0.10,0,0,eucl,0.1
305,5,10,1,0.3,2,23,2500,0.851676,2,1,XRAI_0.10,0,0,eucl,0.85
1764,10,15,1,0.3,4,10,22500,0.272549,1,1,XRAI_0.10,0,0,eucl,0.25
33,2,5,1,0.3,1,2,100,0.6,0,0,XRAI_0.10,0,1,eucl,0.1
8306,2,25,3,0.6,18,3,2500,0.32,4,1,XRAI_0.10,0,0,eucl,0.25
76,2,15,1,0.3,0,13,900,1,5,2,XRAI_0.10,0,0,eucl,0.95
126,2,25,1,0.3,0,34,2500,0.72,14,10,XRAI_0.10,0,0,eucl,0.65
10396,2,15,5,0.3,26,8,900,0.8,4,0,XRAI_0.10,0,0,eucl,0.75
51,2,10,1,0.3,0,1,400,0.5,2,2,XRAI_0.10,0,0,eucl,0.25
15755,25,25,1,0.3,2,0,390625,1.11022e-16,13,13,XRAI_0.10,0,0,eucl,0
305,5,10,1,0.3,2,37,2500,0.929289,2,1,XRAI_0.10,0,0,eucl,0.9
76,2,15,1,0.3,0,13,900,1,5,2,XRAI_0.10,0,0,eucl,1
33,2,5,1,0.3,1,2,100,0.6,0,0,XRAI_0.10,1,1,eucl,0.25
16450,5,25,5,0.3,25,20,15625,0.409814,2,0,XRAI_0.10,0,0,eucl,0.4
10396,2,15,5,0.3,26,8,900,0.8,4,0,XRAI_0.10,0,0,eucl,0.8
93,2,15,1,0.3,1,0,900,0,3,3,XRAI_0.10,0,0,eucl,0
33,2,5,1,0.3,1,2,100,0.6,0,0,XRAI_0.10,1,1,eucl,0.4
31663,10,50,5,0.3,23,11,250000,0.105702,7,7,XRAI_0.10,0,0,eucl,0.1
2031,10,10,1,1,10,12,10000,0.521809,2,2,XRAI_0.10,0,0,eucl,0.5
467,5,5,1,1,8,6,625,0.763357,0,0,XRAI_0.10,1,1,eucl,0.75
4319,2,50,1,1,9,14,10000,0.52,33,24,XRAI_0.10,0,0,eucl,0.5
33,2,5,1,0.3,1,2,100,0.6,0,0,XRAI_0.10,1,1,eucl,0.5
126,2,25,1,0.3,0,40,2500,0.76,14,10,XRAI_0.10,0,0,eucl,0.75
467,5,5,1,1,8,8,625,0.821115,0,0,XRAI_0.10,1,1,eucl,0.8
16450,5,25,5,0.3,25,28,15625,0.51141,3,0,XRAI_0.10,0,0,eucl,0.5
33,2,5,1,0.3,1,3,100,1,0,0,XRAI_0.10,1,0,eucl,0.65
4319,2,50,1,1,9,20,10000,0.66,34,24,XRAI_0.10,0,0,eucl,0.65
10396,2,15,5,0.3,26,20,900,0.866667,3,0,XRAI_0.10,0,0,eucl,0.85
126,2,25,1,0.3,0,60,2500,0.8,14,10,XRAI_0.10,0,0,eucl,0.8
14173,5,50,3,0.6,16,24,62500,0.512681,21,16,XRAI_0.10,0,0,eucl,0.5
33,2,5,1,0.3,1,3,100,1,0,0,XRAI_0.10,0,0,eucl,0.75
93,2,15,1,0.3,1,1,900,0.2,3,3,XRAI_0.10,0,0,eucl,0.1
33,2,5,1,0.3,1,3,100,1,0,0,XRAI_0.10,0,0,eucl,0.8
93,2,15,1,0.3,1,2,900,0.333333,3,3,XRAI_0.10,0,0,eucl,0.25
126,2,25,1,0.3,0,66,2500,0.88,14,10,XRAI_0.10,0,0,eucl,0.85
2031,10,10,1,1,10,22,10000,0.661375,2,2,XRAI_0.10,0,1,eucl,0.65
4319,2,50,1,1,9,26,10000,0.76,41,24,XRAI_0.10,0,0,eucl,0.75
33,2,5,1,0.3,1,3,100,1,0,0,XRAI_0.10,0,0,eucl,0.85
305,5,10,1,0.3,2,109,2500,0.955279,2,1,XRAI_0.10,0,0,eucl,0.95
93,2,15,1,0.3,1,3,900,0.533333,4,3,XRAI_0.10,0,0,eucl,0.4
33,2,5,1,0.3,1,3,100,1,0,0,XRAI_0.10,0,0,eucl,0.9
1764,10,15,1,0.3,4,17,22500,0.402474,1,1,XRAI_0.10,0,0,eucl,0.4
10396,2,15,5,0.3,26,35,900,0.933333,4,0,XRAI_0.10,0,0,eucl,0.9
33,2,5,1,0.3,1,3,100,1,0,0,XRAI_0.10,0,0,eucl,0.95
93,2,15,1,0.3,1,3,900,0.533333,4,3,XRAI_0.10,0,0,eucl,0.5
33,2,5,1,0.3,1,3,100,1,0,0,XRAI_0.10,0,0,eucl,1
126,2,25,1,0.3,0,79,2500,0.92,13,10,XRAI_0.10,0,0,eucl,0.9
8306,2,25,3,0.6,18,4,2500,0.44,4,1,XRAI_0.10,0,0,eucl,0.4
50,2,5,1,0.3,2,0,100,0,0,0,XRAI_0.10,0,0,eucl,0
51,2,10,1,0.3,0,1,400,0.5,2,2,XRAI_0.10,0,0,eucl,0.4
50,2,5,1,0.3,2,2,100,0.6,0,0,XRAI_0.10,0,0,eucl,0.1
10396,2,15,5,0.3,26,52,900,1,4,0,XRAI_0.10,0,0,eucl,0.95
8306,2,25,3,0.6,18,6,2500,0.56,5,1,XRAI_0.10,0,0,eucl,0.5
93,2,15,1,0.3,1,6,900,0.733333,4,3,XRAI_0.10,0,1,eucl,0.65
10396,2,15,5,0.3,26,52,900,1,4,0,XRAI_0.10,0,0,eucl,1
50,2,5,1,0.3,2,2,100,0.6,0,0,XRAI_0.10,0,0,eucl,0.25
93,2,15,1,0.3,1,9,900,0.8,4,3,XRAI_0.10,1,1,eucl,0.75
50,2,5,1,0.3,2,2,100,0.6,0,0,XRAI_0.10,0,0,eucl,0.4
126,2,25,1,0.3,0,104,2500,0.96,14,10,XRAI_0.10,0,0,eucl,0.95
8306,2,25,3,0.6,18,13,2500,0.68,7,1,XRAI_0.10,0,0,eucl,0.65
1764,10,15,1,0.3,4,22,22500,0.510505,2,1,XRAI_0.10,0,0,eucl,0.5
93,2,15,1,0.3,1,9,900,0.8,4,3,XRAI_0.10,1,1,eucl,0.8
50,2,5,1,0.3,2,2,100,0.6,0,0,XRAI_0.10,0,0,eucl,0.5
16450,5,25,5,0.3,25,49,15625,0.651288,4,0,XRAI_0.10,0,0,eucl,0.65
11197,2,15,5,0.3,27,0,900,0,0,0,XRAI_0.10,0,0,eucl,0
50,2,5,1,0.3,2,6,100,0.8,0,0,XRAI_0.10,0,0,eucl,0.65
51,2,10,1,0.3,0,1,400,0.5,2,2,XRAI_0.10,0,0,eucl,0.5
50,2,5,1,0.3,2,6,100,0.8,0,0,XRAI_0.10,0,0,eucl,0.75
8306,2,25,3,0.6,18,17,2500,0.76,6,1,XRAI_0.10,0,0,eucl,0.75
50,2,5,1,0.3,2,6,100,0.8,0,0,XRAI_0.10,0,0,eucl,0.8
93,2,15,1,0.3,1,12,900,0.866667,5,3,XRAI_0.10,1,1,eucl,0.85
126,2,25,1,0.3,0,137,2500,1,14,10,XRAI_0.10,0,0,eucl,1
50,2,5,1,0.3,2,15,100,1,0,0,XRAI_0.10,0,1,eucl,0.85
8306,2,25,3,0.6,18,21,2500,0.8,7,1,XRAI_0.10,0,0,eucl,0.8
93,2,15,1,0.3,1,18,900,0.933333,5,3,XRAI_0.10,1,1,eucl,0.9
153,2,25,1,0.3,1,0,2500,0,10,10,XRAI_0.10,0,0,eucl,0
11197,2,15,5,0.3,27,4,900,0.266667,0,0,XRAI_0.10,0,0,eucl,0.1
50,2,5,1,0.3,2,15,100,1,0,0,XRAI_0.10,1,1,eucl,0.9
11197,2,15,5,0.3,27,4,900,0.266667,0,0,XRAI_0.10,0,0,eucl,0.25
51,2,10,1,0.3,0,5,400,0.7,3,2,XRAI_0.10,0,0,eucl,0.65
8306,2,25,3,0.6,18,28,2500,0.88,7,1,XRAI_0.10,0,0,eucl,0.85
51,2,10,1,0.3,0,6,400,0.8,4,2,XRAI_0.10,0,0,eucl,0.75
